Species,District,Responsible Department,Location,Last Inspection Date,BRR,TR no.,Department Ref. No.,OVTNo,XCoordinate,YCoordinate,Type,Condition,MitigationMeasure
榕树(细叶榕),中西区,路政署,坚道,5/5/2020,N,HYD/CW/00012,hyd_hk_11sw_a_r116_7_wt2,,833595.6024,815928.9957,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,坚道,21/8/2020,Y,HYD/CW/00015,HYD CW/5,HYD CW/5,833374.7,816030.5,OVT & SWT,呈现腐烂(中等) / 树枝/树干裂开(中等) / 有明显破损 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,雪厂街,5/6/2020,N,HYD/CW/00017,hyd_hk_11sw_b_r93_1_wt1,,834189.5839,815650.9626,SWT,树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,褔安里,5/5/2020,N,HYD/CW/00019,hyd_hk_11sw_a_r22_1_wt1,,833195.9012,816211.2201,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,褔安里,5/5/2020,N,HYD/CW/00020,hyd_hk_11sw_a_r22_1_wt2,,833174.8731,816186.3091,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,褔安里,5/5/2020,N,HYD/CW/00023,hyd_hk_11sw_a_r22_2_wt1,,833190.3355,816207.4562,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,褔安里,5/5/2020,N,HYD/CW/00024,hyd_hk_11sw_a_r22_2_wt2,,833178.4798,816184.8688,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,"毗连乐景台, 乐活道",5/4/2020,N,HYD/CW/00025,hyd_hk_11sw_b_r681_0_wt1,,837097.8245,815028.9641,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,"毗连乐景台, 乐活道",5/4/2020,N,HYD/CW/00026,hyd_hk_11sw_b_r681_0_wt2,,837108.3361,815042.9172,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,山道,22/4/2020,N,HYD/CW/00027,hyd_hk_11sw_a_r756_1_wt1,,832012,816246,SWT,健康状况(一般) / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,香雪道,15/11/2019,N,HYD/CW/00034,hyd_hk_11sw_a_r215_0_wt1,,833731.2,815455.2,SWT,树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,香雪道,15/11/2019,N,HYD/CW/00035,hyd_hk_11sw_a_r215_0_wt2,,833736.2,815420.4,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,居贤坊,5/5/2020,N,HYD/CW/00039,hyd_hk_11sw_a_r65_0_wt1,,833367.7727,816082.8462,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,居贤坊,15/6/2020,N,HYD/CW/00042,hyd_hk_11sw_a_r65_0_wt4,,833404.5712,816124.3648,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,下亚厘毕道,15/11/2019,N,HYD/CW/00043,hyd_hk_11sw_b_r90_0_wt1,,834148.6754,815693.047,SWT,树冠不对称 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,梅道,17/9/2020,N,HYD/CW/00046,hyd_hk_11sw_b_fr292_2_wt2,,833809.0046,815096.4614,SWT,呈现腐烂(中等) / 树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,
大叶榕(黄葛树),中西区,路政署,梅道,19/5/2020,N,HYD/CW/00047,hyd_hk_11sw_b_r943_0_wt1,,833844.7781,815167.1042,SWT,呈现树洞(轻微) / 树枝/树干裂开(中等) / 有枯枝 / 有明显破损 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,柯士甸山道,29/5/2020,N,HYD/CW/00048,hyd_hk_11sw_c_r492_0_wt1,,833316.198,814745.2984,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,旧山顶道,19/5/2020,N,HYD/CW/00049,hyd_hk_11sw_b_r262_0_wt1,,833843.4382,815166.2185,SWT,有枯枝 / 有明显破损 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,旧山顶道,19/6/2020,N,HYD/CW/00050,hyd_hk_11sw_b_r262_0_wt2,,833835.603,815150.274,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,旧山顶道,19/5/2020,N,HYD/CW/00052,hyd_hk_11sw_b_r262_0_wt4,,833829.0053,815138.9802,SWT,呈现腐烂 (轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
珊瑚树,中西区,路政署,旧山顶道,29/5/2020,N,HYD/CW/00053,hyd_hk_11sw_c_cr311_0_wt1,,833537.4137,814970.3804,SWT,有明显破损 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00057,hyd_hk_11sw_c_r118_0_wt1,,833441.9073,814583.0497,SWT,树枝/树干裂开(轻微) / 有枯枝 / 树冠不对称 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,山顶道,18/6/2020,N,HYD/CW/00058,hyd_hk_11sw_c_r64_0_wt1,,833727.9479,814156.4532,SWT,有枯枝 / 树冠不对称 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
珊瑚树,中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00059,hyd_hk_11sw_c_r99_0_wt1,,833461.4778,814516.4951,SWT,树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00060,hyd_hk_11sw_c_r99_0_wt2,,833469.2071,814512.9502,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00061,hyd_hk_11sw_c_r99_0_wt3,,833477.0396,814509.959,SWT,呈现树洞(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00062,hyd_hk_11sw_c_r99_0_wt4,,833477.0396,814509.959,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00063,hyd_hk_11sw_c_r99_0_wt5,,833503.2175,814504.9713,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00064,hyd_hk_11sw_c_r99_0_wt6,,833524.0362,814501.6456,SWT,树枝/树干裂开(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00065,hyd_hk_11sw_c_r99_0_wt7,,833538.8772,814498.6532,SWT,嫩枝枯死 (5 - 20%) / 有枯枝 / 有明显破损 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00067,hyd_hk_11sw_d_r1083_0_wt1,,834124,814002,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
朴树,中西区,路政署,山顶道,29/5/2020,N,HYD/CW/00068,hyd_hk_11sw_d_r1083_0_wt2,,834121,814004,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,宝珊道,17/6/2020,N,HYD/CW/00072,hyd_hk_11sw_a_r684_0_wt1,,832332.5763,815664.4979,SWT,树冠不对称 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,宝珊道,17/6/2020,N,HYD/CW/00073,hyd_hk_11sw_a_r684_0_wt2,,832362.1547,815667.0373,SWT,树枝/树干裂开(轻微) / 树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,16/4/2020,N,HYD/CW/00074,hyd_hk_11sw_a_r325_0_wt1,,831595.7,815785.3,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,14/6/2020,N,HYD/CW/00075,hyd_hk_11sw_a_r325_0_wt2,,831560.1,815644.2,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00082,hyd_hk_11sw_a_r521_1_wt1,,832401.4,816279,SWT,有明显破损 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00083,hyd_hk_11sw_a_r521_1_wt2,,832404.1,816281.1,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00084,hyd_hk_11sw_a_r521_1_wt3,,832406.1,816282,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00085,hyd_hk_11sw_a_r521_1_wt4,,832418.2,816285.5,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00086,hyd_hk_11sw_a_r521_1_wt5,,832430,816287.3,SWT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),中西区,路政署,薄扶林道,15/5/2020,N,HYD/CW/00087,hyd_hk_11sw_a_r521_1_wt6,,832431.5,816288.2,SWT,树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,磅巷,5/5/2020,N,HYD/CW/00088,hyd_hk_11sw_a_r43_0_wt1,,833201.4547,816152.7513,SWT,树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,14/5/2020,N,HYD/CW/00091,hyd_hk_11sw_a_r389_0_wt2,,833052.9,816027.5,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,14/5/2020,N,HYD/CW/00092,hyd_hk_11sw_a_r389_0_wt3,,833056.4,816026.3,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,14/5/2020,N,HYD/CW/00093,hyd_hk_11sw_a_r389_0_wt4,,833066.5292,816024.659,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,21/5/2020,N,HYD/CW/00094,hyd_hk_11sw_a_r614_0_wt1,,832761.8856,815980.2093,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,5/4/2020,N,HYD/CW/00095,hyd_hk_11sw_a_r614_0_wt2,,832780.9516,815982.752,SWT,有明显破损 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,罗便臣道,14/5/2020,N,HYD/CW/00096,hyd_hk_11sw_a_r614_0_wt3,,832792.2887,815987.0681,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,大安台,5/5/2020,N,HYD/CW/00098,hyd_hk_11sw_a_r23_0_wt1,,833208.8796,816177.9973,SWT,呈现树洞(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,差馆上街,5/5/2020,N,HYD/CW/00100,hyd_hk_11sw_a_r37_0_wt1,,833256,816153,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,域多利道,29/5/2020,N,HYD/CW/00101,hyd_hk_11sw_a_r775_0_wt1,,830489.7,815790.2,SWT,树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,域多利道,29/5/2020,N,HYD/CW/00102,hyd_hk_11sw_a_r780_0_wt1,,830213.4,815672.9,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,域多利道,29/5/2020,N,HYD/CW/00103,hyd_hk_11sw_a_r780_0_wt2,,830226.4,815687.1,SWT,树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),中西区,路政署,湾仔峡道,5/6/2020,N,HYD/CW/00104,hyd_hk_11sw_b_r714_0_wt1,,835945.069,815008.0163,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
大叶榕(黄葛树),中西区,路政署,湾仔峡道,5/6/2020,N,HYD/CW/00105,hyd_hk_11sw_b_r714_0_wt2,,835945.3781,815003.5869,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,黄泥涌峡道,5/4/2020,N,HYD/CW/00107,hyd_hk_11se_c_r112_0_wt1,,837724.7,813568.7,SWT,有明显破损 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,高街,27/4/2020,N,HYD/CW/00109,HyD CW/2,HYD CW/2,833002,816234,OVT & SWT,有枯枝 / 有明显破损 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,高街,27/4/2020,N,HYD/CW/00110,hyd_hk_11sw_a_r427_0_wt2,,833001.8531,816230.5273,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,高街,27/4/2020,N,HYD/CW/00111,hyd_hk_11sw_a_r427_0_wt3,,833006.7996,816229.9726,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,高街,16/6/2020,N,HYD/CW/00112,hyd_hk_11sw_a_r427_0_wt4,,833018.445,816230.856,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,高街,27/4/2020,N,HYD/CW/00113,hyd_hk_11sw_a_r427_0_wt5,,833043.3835,816227.5288,SWT,呈现腐烂 (轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,高街,27/4/2020,N,HYD/CW/00114,hyd_hk_11sw_a_r427_0_wt6,,833056.5742,816226.0866,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,在高街和般咸道交界,27/4/2020,N,HYD/CW/00115,hyd_hk_11sw_a_cr80_0_wt1,,832971,816229,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,在高街和般咸道交界,27/4/2020,N,HYD/CW/00116,hyd_hk_11sw_a_cr80_0_wt2,,832965.3,816227.4,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,在高街和般咸道交界,16/6/2020,N,HYD/CW/00117,hyd_hk_11sw_a_cr80_0_wt3,,832972.9,816230.6,SWT,有明显破损 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00119,hyd_hk_11sw_a_r1148_0_wt1,,833101.0975,816244.0164,SWT,呈现树洞(中等) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00120,hyd_hk_11sw_a_r1148_0_wt2,,833102.5418,816251.4353,SWT,树枝/树干裂开(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00121,hyd_hk_11sw_a_r1148_0_wt3,,833102.5424,816254.7573,SWT,呈现树洞(严重) / 呈现腐烂(严重) / 树枝/树干裂开(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00122,hyd_hk_11sw_a_r1148_0_wt4,,833096.9793,816263.8387,SWT,呈现腐烂 (轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00123,hyd_hk_11sw_a_r1148_0_wt5,,833088.1937,816274.6568,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,医院道,16/6/2020,N,HYD/CW/00124,hyd_hk_11sw_a_r1148_0_wt6,,833086.1623,816281.8905,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,般咸道,19/5/2020,N,HYD/CW/00125,hyd_hk_11sw_a_r436_0_wt1,,833149.3986,816086.7641,SWT,呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,般咸道,19/5/2020,N,HYD/CW/00126,hyd_hk_11sw_a_r436_0_wt2,,833189.4,816092.5,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,巴丙顿道,6/2/2020,N,HYD/CW/00128,hyd_hk_11sw_a_r583_0_wt1,,832596.2983,816083.341,SWT,有明显破损 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,巴丙顿道,6/2/2020,N,HYD/CW/00129,hyd_hk_11sw_a_r583_0_wt2,,832598.2576,816088.5451,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,列堤顿道,14/5/2020,N,HYD/CW/00130,hyd_hk_11sw_a_r602_0_wt5,,832568,815970.8,SWT,有枯枝 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),中西区,路政署,列堤顿道,14/5/2020,N,HYD/CW/00131,hyd_hk_11sw_a_r602_0_wt6,,832572.4,815977.9,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,列堤顿道,14/5/2020,N,HYD/CW/00132,hyd_hk_11sw_a_r602_0_wt7,,832577.2,815980.2,SWT,有明显破损 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),中西区,路政署,列堤顿道,14/5/2020,N,HYD/CW/00133,hyd_hk_11sw_a_r602_0_wt8,,832586.6,815984.4,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
潺槁树,中西区,路政署,列堤顿道,14/5/2020,N,HYD/CW/00134,hyd_hk_11sw_a_r602_0_wt9,,832593.1,815987.9,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
笔管榕,东区,路政署,留仙街,5/4/2020,N,HYD/E/00004,hyd_hk_11se_a_r91_0_wt1,,837917.066,816028.5158,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
笔管榕,南区,路政署,薄扶林道,16/6/2020,N,HYD/S/00006,hyd_hk_11sw_c_r38_1_wt1,,832049.7594,813668.0369,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,16/6/2020,N,HYD/S/00007,hyd_hk_11sw_c_r38_1_wt2,,832048.6268,813672.4665,SWT,树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,15/6/2020,N,HYD/S/00009,hyd_hk_11sw_c_r38_1_wt4,,832042.8567,813679.3336,SWT,树冠不对称 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,16/6/2020,N,HYD/S/00014,hyd_hk_11sw_c_r38_1_wt9,,832028.4336,813704.9171,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
朴树,南区,路政署,薄扶林道,16/6/2020,N,HYD/S/00015,hyd_hk_11sw_c_r38_1_wt10,,832017.6153,813720.312,SWT,树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
朴树,南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00016,hyd_hk_11sw_c_r38_2_wt1,,832063.539,813549.3264,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00017,hyd_hk_11sw_c_r38_2_wt2,,832062.9228,813557.5209,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00018,HyD S/1,HYD S/1,832062.1018,813570.8092,OVT & SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
