BBR,Condition_CHS,Condition_CHT,Condition_EN,Department_Ref__No_,District_CHS,District_CHT,District_EN,Last_Inspection_Date,Location_CHS,Location_CHT,Location_EN,MitigationMeasure_CHS,MitigationMeasure_CHT,MitigationMeasure_EN,OVTNo,Responsible_Department_CHS,Responsible_Department_CHT,Responsible_Department_EN,Species_CHS,Species_CHT,Species_EN,TR_no_,Type,XCoordinate,YCoordinate,GeometryLongitude,GeometryLatitude
N,土壤被挤压 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (部份) / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 石墙 / 综合剩余风险(低) / 没有场地改变 / ,土壤被擠壓 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (部份) / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 石牆 / 綜合剩餘風險(低) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other Pruning history / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Over 75%) / Stonewall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033957,"""Central & Western""","""Central & Western""","""Central & Western""",2023-06-08,"""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00112,SWT,833028.559,816231.425,114.14544000000001,22.28496700000005
N,土壤被挤压 / 有土壤裂缝或裂缝於倾斜部位背後 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (受遮挡) / 修剪历史 (清理树冠) / 修剪历史 (疏减树冠) / 修剪历史 (缩减树冠) / 其他总体情况观察 / 综合树木风险 (低) / 石墙 / 综合剩余风险(低) / 没有场地改变 / ,土壤被擠壓 / 有土壤裂縫或裂縫於傾斜部位背後 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (受遮擋) / 修剪歷史 (清理樹冠) / 修剪歷史 (疏減樹冠) / 修剪歷史 (縮減樹冠) / 其他總體情況觀察 / 綜合樹木風險 (低) / 石牆 / 綜合剩餘風險(低) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Cleaned) / Pruning history (Reduced) / Pruning history (Thinned) / Restriction within dripline (Over 75%) / Soil crack or crack behind lean / Stonewall / Tree failure record / Tree vigor (Normal) / Wind exposure (Protected) / ,hyd_hk_11sw_a_r427_0_wt5,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-26,"""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""",清理树冠 / 缩减树冠 / ,清理樹冠 / 縮減樹冠 / ,Crown cleaning / Crown reduction / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00113,SWT,833038.395,816230.785,114.1455360000001,22.284961000000067
N,土壤被挤压 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (部份) / 修剪历史 (清理树冠) / 修剪历史 (提升树冠) / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 石墙 / 综合剩余风险(低) / 没有场地改变 / ,土壤被擠壓 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (部份) / 修剪歷史 (清理樹冠) / 修剪歷史 (提升樹冠) / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 石牆 / 綜合剩餘風險(低) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other Pruning history / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Cleaned) / Pruning history (Raised) / Restriction within dripline (Over 75%) / Stonewall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,hyd_hk_11sw_a_r427_0_wt6,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-26,"""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""","""HIGH STREET, Within 4 meters to the East (108.73Degrees) of Lamppost 50111""",清理树冠 / 缩减树冠 / ,清理樹冠 / 縮減樹冠 / ,Crown cleaning / Crown reduction / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00114,SWT,833055.085,816229.648,114.14569800000004,22.284951000000035
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 修剪历史 (提升树冠) / 挡土墙 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 修剪歷史 (提升樹冠) / 擋土牆 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Raised) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033846,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""","""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""","""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00125,SWT,833178.697,816090.844,114.14689700000008,22.283698000000072
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 修剪历史 (提升树冠) / 挡土墙 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 修剪歷史 (提升樹冠) / 擋土牆 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Raised) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033852,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""","""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""","""HOSPITAL ROAD, Within 6 meters to the West (270.83Degrees) of Lamppost 34803""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00126,SWT,833184.133,816091.493,114.14695000000006,22.283704000000057
N,土壤被挤压 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (部份) / 修剪历史 (清理树冠) / 修剪历史 (缩减树冠) / 其他总体情况观察 / 综合树木风险 (低) / 石墙 / 综合剩余风险(低) / 没有场地改变 / ,土壤被擠壓 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (部份) / 修剪歷史 (清理樹冠) / 修剪歷史 (縮減樹冠) / 其他總體情況觀察 / 綜合樹木風險 (低) / 石牆 / 綜合剩餘風險(低) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Cleaned) / Pruning history (Reduced) / Restriction within dripline (Over 75%) / Stonewall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033951,"""Central & Western""","""Central & Western""","""Central & Western""",2023-06-06,"""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""","""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""","""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00128,SWT,832588.941,816077.274,114.14117500000009,22.283574000000044
N,土壤被挤压 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 倾斜 (反应生长) / 受风情况 (部份) / 修剪历史 (清理树冠) / 修剪历史 (疏减树冠) / 修剪历史 (缩减树冠) / 修剪历史 (结构修剪) / 其他总体情况观察 / 综合树木风险 (低) / 石墙 / 综合剩余风险(低) / 没有场地改变 / ,土壤被擠壓 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 傾斜 (反應生長) / 受風情況 (部份) / 修剪歷史 (清理樹冠) / 修剪歷史 (疏減樹冠) / 修剪歷史 (縮減樹冠) / 修剪歷史 (結構修剪) / 其他總體情況觀察 / 綜合樹木風險 (低) / 石牆 / 綜合剩餘風險(低) / 没有場地改變 / ,Compacted Soil / Lean (Natural due to phototropism) / Lean (Response growth) / Lean (Self-corrected) / No site changes / Other General condition observations / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Pruning history (Cleaned) / Pruning history (Reduced) / Pruning history (Structural pruning) / Pruning history (Thinned) / Restriction within dripline (Over 75%) / Stonewall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033933,"""Central & Western""","""Central & Western""","""Central & Western""",2023-06-06,"""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""","""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""","""HONITON ROAD, Within 12 meters to the North (347.06Degrees) of Lamppost 42755""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00129,SWT,832592.33,816083.981,114.14120700000001,22.28363500000006
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,hyd_hk_11sw_a_r602_0_wt5,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00130,SWT,832566.828,815969.168,114.14096000000006,22.282598000000064
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0033994,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-21,"""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00131,SWT,832570.457,815976.362,114.14099500000009,22.28266300000007
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,RTR0034003,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00132,SWT,832576.774,815980.265,114.14105700000005,22.28269800000004
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (中) / 综合剩余风险(中) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (中) / 綜合剩餘風險(中) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Moderate) / Overall tree risk rating (Moderate) / Restriction within dripline (Over 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,hyd_hk_11sw_a_r602_0_wt8,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""",清理树冠 / 其他缓减措施 / ,清理樹冠 / 其他緩減措施 / ,Crown cleaning / Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/CW/00133,SWT,832587.203,815984.636,114.14115800000002,22.28273800000005
N,其他场地改变 / 土壤情况正常 / 有土壤裂缝或裂缝於倾斜部位背後 / 滴水线范围内有限制(多於 70%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 倾斜 (已自然修正) / 受风情况 (部份) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 有土壤裂縫或裂縫於傾斜部位背後 / 滴水線範圍內有限制(多於 70%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 傾斜 (已自然修正) / 受風情況 (部份) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / Lean (Self-corrected) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (Over 75%) / Retaining wall / Soil crack or crack behind lean / Tree failure record / Tree vigor (Normal) / Wind exposure (Partial) / ,hyd_hk_11sw_a_r602_0_wt9,"""Central & Western""","""Central & Western""","""Central & Western""",2023-10-20,"""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""","""BABINGTON PATH, Within 6 meters to the North (357.71Degrees) of Lamppost 42772""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",潺槁树,潺槁樹,Litsea glutinosa,HYD/CW/00134,SWT,832590.719,815986.092,114.14119200000005,22.282751000000076
N,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,有枯枝 / 有明顯破損 / 樹冠不對稱 / 樹幹不正常傾斜 / ,Abnormal leaning / Asymmetric tree canopy / Dead branches / Obvious wound(s) / ,HyD S/1,"""Southern""","""Southern""","""Southern""",2020-08-26,"""Pok Fu Lam Road""","""Pok Fu Lam Road""","""Pok Fu Lam Road""",持续监察 / ,持續監察 / ,Continuous Monitoring / ,HYD S/1,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/S/00018,OVT & SWT,832062.102,813570.809,114.13606900000002,22.260938000000067
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(51 - 75%) / 有树木倒塌记录 / 其他场地观察 / 茁壮程度 (正常) / 倾斜 (趋光性) / 受风情况 (暴露) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(51 - 75%) / 有樹木倒塌記錄 / 其他場地觀察 / 茁壯程度 (正常) / 傾斜 (趨光性) / 受風情況 (暴露) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Lean (Natural due to phototropism) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (51 - 75%) / Retaining wall / Tree failure record / Tree vigor (Normal) / Wind exposure (Exposed) / ,RTR0206421,"""Wan Chai""","""Wan Chai""","""Wan Chai""",2023-06-24,NULL,NULL,NULL,其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/WC/00002,SWT,835731.112,814599.066,114.17166500000008,22.27022900000003
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(51 - 75%) / 有树木倒塌记录 / 有褐根病记录 / 其他场地观察 / 茁壮程度 (低) / 倾斜 (趋光性) / 受风情况 (暴露) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(51 - 75%) / 有樹木倒塌記錄 / 有褐根病記錄 / 其他場地觀察 / 茁壯程度 (低) / 傾斜 (趨光性) / 受風情況 (暴露) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Brown Root Rot disease record / Lean (Natural due to phototropism) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (51 - 75%) / Retaining wall / Tree failure record / Tree vigor (Low) / Wind exposure (Exposed) / ,RTR0300256,"""Wan Chai""","""Wan Chai""","""Wan Chai""",2023-06-24,NULL,NULL,NULL,其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/WC/00004,SWT,835557.018,814983.834,114.16997600000002,22.273704000000066
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(51 - 75%) / 有树木倒塌记录 / 有褐根病记录 / 其他场地观察 / 茁壮程度 (低) / 倾斜 (趋光性) / 受风情况 (暴露) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(51 - 75%) / 有樹木倒塌記錄 / 有褐根病記錄 / 其他場地觀察 / 茁壯程度 (低) / 傾斜 (趨光性) / 受風情況 (暴露) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Brown Root Rot disease record / Lean (Natural due to phototropism) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (51 - 75%) / Retaining wall / Tree failure record / Tree vigor (Low) / Wind exposure (Exposed) / ,RTR0300254,"""Wan Chai""","""Wan Chai""","""Wan Chai""",2023-06-24,NULL,NULL,NULL,其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/WC/00005,SWT,835610.381,814966.341,114.17049400000008,22.273546000000067
N,其他场地改变 / 土壤情况正常 / 滴水线范围内有限制(51 - 75%) / 有树木倒塌记录 / 有褐根病记录 / 其他场地观察 / 茁壮程度 (低) / 倾斜 (趋光性) / 受风情况 (暴露) / 挡土墙 / 其他修剪历史 / 其他总体情况观察 / 综合树木风险 (低) / 综合剩余风险(低) / 没有场地改变 / ,其他場地改變 / 土壤情況正常 / 滴水線範圍內有限制(51 - 75%) / 有樹木倒塌記錄 / 有褐根病記錄 / 其他場地觀察 / 茁壯程度 (低) / 傾斜 (趨光性) / 受風情況 (暴露) / 擋土牆 / 其他修剪歷史 / 其他總體情況觀察 / 綜合樹木風險 (低) / 綜合剩餘風險(低) / 没有場地改變 / ,Brown Root Rot disease record / Lean (Natural due to phototropism) / No site changes / Normal Soil / Other General condition observations / Other Pruning history / Other site changes / Other Site Condition observations / Overall residual risk(Low) / Overall tree risk rating (Low) / Restriction within dripline (51 - 75%) / Retaining wall / Tree failure record / Tree vigor (Low) / Wind exposure (Exposed) / ,hyd_hk_11sw_d_r704_0_wt1,"""Wan Chai""","""Wan Chai""","""Wan Chai""",2023-06-24,"""BOWEN ROAD, Within 16 meters to the North West (332.77Degrees) of Lamppost 40285""","""BOWEN ROAD, Within 16 meters to the North West (332.77Degrees) of Lamppost 40285""","""BOWEN ROAD, Within 16 meters to the North West (332.77Degrees) of Lamppost 40285""",其他缓减措施 / ,其他緩減措施 / ,Others / ,,"""Highways Department""","""Highways Department""","""Highways Department""",榕树(细叶榕),榕樹(細葉榕),Ficus microcarpa,HYD/WC/00008,SWT,835687.027,814894.301,114.17123700000002,22.272895000000062
